#Energy           TDOS-UP         TDOS-DOWN
2.953292        1.184000        1.184000
2.984292        1.161000        1.161000
3.015292        1.176000        1.176000
3.046292        1.181000        1.181000
3.077292        1.147000        1.147000
3.108292        1.137000        1.137000
3.139292        1.127000        1.127000
3.170292        1.119000        1.119000
3.201292        1.163000        1.163000
3.232292        1.133000        1.133000
3.263292        1.096000        1.098000
3.294292        2.130000        2.113000
3.325292        2.133000        2.139000
3.356292        2.492000        2.680000
3.387292        1.162000        1.223000
3.418292        2.318000        2.130000
3.449292        2.096000        1.958000
3.479292        2.201000        2.257000
3.510292        2.069000        2.016000
3.541292        2.040000        2.154000
3.572292        2.023000        2.032000
3.603292        2.105000        2.079000
3.634292        2.001000        1.981000
3.665292        2.044000        2.049000
3.696292        2.011000        2.032000
3.727292        1.993000        1.993000
3.758292        2.027000        2.027000
3.789292        2.011000        2.013000
3.820292        1.987000        1.992000
3.851292        1.995000        1.995000
3.882292        1.990000        1.990000
3.913292        1.994000        1.990000
3.944292        1.985000        1.988000
3.975292        2.009000        2.011000
4.006292        1.967000        1.987000
4.037292        1.988000        2.038000
4.068292        2.057000        3.134000
4.099292        3.679000        2.992000
4.130292        2.886000        3.026000
4.161292        2.957000        2.753000
4.192292        2.731000        2.901000
4.223292        3.128000        2.895000
4.254292        2.847000        3.047000
4.285292        3.088000        2.930000
4.316292        3.179000        2.915000
4.347292        2.824000        2.877000
4.378292        2.907000        2.958000
4.409292        3.046000        3.276000
4.440292        2.860000        3.007000
4.471292        2.937000        3.952000
4.502292        3.499000        3.669000
4.533292        3.637000        3.908000
4.564292        4.492000        4.323000
4.595292        4.032000        3.585000
4.626292        3.503000        3.740000
4.657292        3.891000        3.815000
4.688292        3.840000        3.816000
4.719292        3.843000        4.199000
4.750292        3.992000        3.836000
4.781292        3.689000        3.777000
4.812292        3.779000        4.455000
4.843292        6.368000        3.345000
4.874292        3.810000        3.408000
4.905292        3.361000        3.739000
4.936292        3.823000        3.743000
4.967292        4.035000        4.028000
4.998292        3.979000        3.972000
5.029292        3.844000        3.762000
5.060292        3.857000        3.705000
5.091292        3.780000        3.768000
5.122292        3.878000        4.397000
5.153292        3.903000        3.510000
5.184292        4.002000        3.934000
5.215292        3.157000        4.085000
5.246292        4.104000        3.739000
5.277292        3.870000        4.143000
5.308292        3.848000        4.004000
5.339292        3.790000        4.833000
5.370292        4.014000        4.862000
5.401292        4.559000        4.579000
5.432292        4.737000        4.935000
